job_title,company_name,date,locations_name,skills,links
Senior Java Developer,SSC Egypt -,13 days ago,"Cairo, Egypt ",Full TimeExperienced · 6 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · MySQL · NoSQL · Spring,https://wuzzuf.net/jobs/p/pzXrIHiDSgbt-Senior-Java-Developer-SSC-Egypt-Cairo-Egypt?o=13&l=sp&t=sj&a=java|search-v3|hpb,
Senior Java Developer,Confidential -,10 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Science · Design · Engineering · Information Technology (IT) · Java · MySQL · MVC,https://wuzzuf.net/jobs/p/HpaezST9o8kh-Senior-Java-Developer-Cairo-Egypt?o=14&l=sp&t=sj&a=java|search-v3|hpb,
Senior JAVA Backend Developer,Confidential -,12 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Java · Spring Boot,https://wuzzuf.net/jobs/p/1AmwX1TRIFOV-Senior-JAVA-Backend-Developer-Cairo-Egypt?o=15&l=sp&t=sj&a=java|search-v3|hpb,
Java Tech Lead,FlairsTech -,8 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Java · JavaScript · Mongo · Software Development · Software Engineering · Spring,https://wuzzuf.net/jobs/p/Smzd2ajsiE2I-Java-Tech-Lead-FlairsTech-Cairo-Egypt?o=16&l=sp&t=sj&a=java|search-v3|hpb,
Senior Software Engineer-Java,ITWORX -,15 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Spring · Java Development · Computer Science · Information Technology (IT) · Software Engineering · Software Development · SQL,https://wuzzuf.net/jobs/p/GD8832XrDfBS-Senior-Software-Engineer-Java-ITWORX-Cairo-Egypt?o=17&l=sp&t=sj&a=java|search-v3|hpb,
Java Team Lead,ITS  -,12 days ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 7 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · J2EE · Java · Java Development · Hibernate · EJB · JPA,https://wuzzuf.net/jobs/p/rPrVQzKcFmGr-Java-Team-Lead-ITS-Cairo-Egypt?o=18&l=sp&t=sj&a=java|search-v3|hpb,
Java Developer,Premier Services and Recruitment -,13 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 10 Yrs of Exp · IT/Software Development · Back End Developer · Front end developer · JavaScript · Java · SQL,https://wuzzuf.net/jobs/p/xlpe3zsxLxwZ-Java-Developer-Premier-Services-and-Recruitment-Cairo-Egypt?o=19&l=sp&t=sj&a=java|search-v3|hpb,
Senior Java Developer,Egabi FSI -,10 days ago,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Java · Software Development · ITI · SQL · OOP · Design,https://wuzzuf.net/jobs/p/P8By8Ln9CydA-Senior-Java-Developer-Egabi-FSI-Cairo-Egypt?o=20&l=sp&t=sj&a=java|search-v3|hpb,
Senior Java Developer,DBS -,15 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Development · Information Technology (IT) · Java · MySQL · Software Development · Software Engineering · Software · SOAP,https://wuzzuf.net/jobs/p/rpIBjPEPPIL4-Senior-Java-Developer-DBS-Cairo-Egypt?o=21&l=sp&t=sj&a=java|search-v3|hpb,
Senior Java Developer,Agile Technologies  -,16 days ago,"Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · backend · Computer Science · Design · Design Patterns · Development · Information Technology (IT) · Java,https://wuzzuf.net/jobs/p/xZhE0QIKM6WO-Senior-Java-Developer-Agile-Technologies-Cairo-Egypt?o=22&l=sp&t=sj&a=java|search-v3|hpb,
